,Unnamed: 0,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star,label
141,141,201167,170,768,daddy's home 2,2017,Sean Anders,"Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow",ted 2,2015,Seth MacFarlane,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi, Morgan Freeman, Sam J. Jones, Patrick Warburton, Michael Dorn, Bill Smitrovich, John Slattery, Cocoa Brown, John Carroll Lynch, Ron Canada, Liam Neeson, Dennis Haysbert, Patrick Stewart, Tom Brady, Jay Leno, Jimmy Kimmel, Kate McKinnon, Bobby Moynihan, Taran Killam, William Xifaras",0
261,261,405837,1094,1614,the breadwinner,2017,Nora Twomey,"Saara Chaudry, Soma Chhaya, Noorin Gulamgaus, Laara Sadiq",the breadwinner,2017,Nora Twomey,"Saara Chaudry, Soma Chhaya, Laara Sadiq, Shaista Latif, Ali Badshah, Noorin Gulamgaus, Kawa Ada",1
135,135,192460,1450,737,the do-over,2016,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",the gift,2015,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Busy Philipps, David Denman, Allison Tolman, Katie Aselton, Susan May Pratt, Wendell Pierce, Beau Knapp, Tim Griffin, Nash Edgerton, P.J. Byrne, Mirrah Foulkes, Adam Lazarre-White, Felicity Price, Stacey Bender, David Joseph Craig, Beth Crudele, Melinda Allen, Laura Drake Mancini, Jyothsna Venkatesh",0
200,200,312201,85,1250,the disaster artist,2017,James Franco,"James Franco, Dave Franco, Ari Graynor, Seth Rogen",the vault,2017,Dan Bush,"James Franco, Taryn Manning, Francesca Eastwood, Scott Haze, Q'Orianka Kilcher, Jeff Gum, Clifton Collins Jr.",0
122,122,167096,1870,639,the lucky one,2012,Scott Hicks,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",the interview,2014,"Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy C. Simons, Joseph Gordon-Levitt, Anders Holm, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Charles Chun, Charles Rahi Chun, Don Chow, Yun-a Song, Willem Jacobson, Daniel Lim, Harrison Lee, Jason Cox, John Coughlin, Peter Neilly, Yoosik Oum, Scott Seol, Daniel Park, Justin Lee (II), Don Lew, Andrew Chin, Jung Jin Park, Dan Sterling, Fred Henderson, Danny Shea, Tommy Chang, Justin Cho, David Kim, Adrian deLotz, Hong-Gill Cha, Sean Cho, David Ko, Jack Jekeon Cha, William ""Bigsleeps"" Stewart, Alice Wetterlund, Stacey Turner, Ben Schwartz, Danyella Angel, Alan Blumenfeld, Paola Botero, Thomas Cadrot, Steve Chang, David Diaan, Paul Herbert, Daniel Juhn, Nick Kaiser, Daeyoung Danny Kim, Crystal Lee, Won Hee Lee, Mercy Malick, Isaac Shr, Paniz Zade",0
22,22,22430,208,91,la la land,2016,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",la la land,2016,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons",1
68,68,98256,2513,392,transcendence,2014,Wally Pfister,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",transcendence,2014,Wally Pfister,"Johnny Depp, Paul Bettany, Rebecca Hall, Morgan Freeman, Kate Mara, Cole Hauser, Cillian Murphy, Cory Hardrict, Falk Hentschel, Josh Stewart, Luce Rains, Fernando Chien, Steven Liu, Xander Berkeley, Lukas Haas, Wallace Langham, James Burnett, Sam Quinn, Sam Webb, Christopher Gartin, Olivia Taylor Dudley, Abraham Jallad, Lauren Sivan, Laramie Cooley, Nancy Jeris, Colin Jones, Dylan Kenin, Chad Brummett, Antonio Del Prete, Jon Kristian Moore, John Trejo, Matthew J. Berkovitz, Darren Patrick Leis, Donna D. Brown, Richard ""Daniel"" Williams, Zackeriah Carpenter, Christina Lancellotti, Kristen Rakes, Seth Adkins, Dean Bailey, Gary Dionne, Bruce Ellis Benson, Fred North, Rick Shuster",1
20,20,20422,864,75,tomorrowland,2015,Brad Bird,"George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy",tomorrowland,2015,Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Thomas Robinson, Tim McGraw, Judy Greer, Keegan-Michael Key, Chris Bauer, Pierce Gagnon, Matthew MacCaull, Matthew Kevin Anderson, Michael Giacchino, D. Harlan Cutshall, Shiloh Nelson, Xantha Radley, David Nykl, Paul McGillion, Pearce Visser, Gary Chalk, Dagan Nish, Yusuf Ahmed, Alex Barima, Jedidiah Goodacre, Kate Crutchlow, Priya Rajarthnam, Parm Soor, Leena Manro, Rick Pearce, Tom Butler, Michael Rowe (IX), Tim Perez, Patrick Sabongui, Romuald Hivert, Mathieu Lardier, Fraser Corbett, Darren Shahlavi, Aidan Gemme, Takayuki Oki, Natasha Davidson, Liliane Leila Juma, Kathryn Hahn",1
506,506,769759,785,2965,the belko experiment,2016,Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",the retrieval,2014,Chris Eska,"Tishuan Scott, Ashton Sanders, Keston John, Bill Oberst Jr., Christine Horn, Alfonso Freeman, Raven Nicole LeDeatte",0
14,14,12053,1823,37,the loft,2014,Erik Van Looy,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet",the trust,2016,"Alex Brewer, Benjamin Brewer","Nicolas Cage, Elijah Wood, Jerry Lewis, Kevin Weisman, Steven Williams, Sky Ferreira, Alexandria Lee, Ethan Suplee, Kenna James, Carl ""Carlito"" J. Windom, Lisa Mack, Marc D. Donovan, Keston John, Joe Palubinsky, Tommie Vegas, Jay Hieron, Eric Heister, Marc Donovan, Ronnie Thurmand Jr., Erica Vanlee, Tommy Vegas, Christie Beran, Jeff Manning, Ronnie Thurmand Jr., Jeff Howard, Reagan Pfifer, Ashley LeConte Campbell, Vanessa Christelle, Paul Vato, Xin Yi Gan, Zhang Jianming, Marcus Weiss, James D. Smith Jr., Lisa Gardner",0
