,Unnamed: 0,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star,label
90,90,131489,2952,512,the guest,2014,Adam Wingard,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore",the cobbler,2015,Tom McCarthy,"Adam Sandler, Method Man, Ellen Barkin, Dustin Hoffman, Melonie Diaz, Elena Kampouris, Glenn Fleshler, Lynn Cohen, Steve Buscemi, Dascha Polanco, Dan Stevens (IV)",0
107,107,157514,356,606,the mountain between us,2017,Hany Abu-Assad,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",the mountain between us,2017,Hany Abu-Assad,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",1
336,336,502815,58,1989,guardians of the galaxy vol. 2,2017,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",the fate of the furious,2017,F. Gary Gray,"Vin Diesel, Dwayne Johnson, Jason Statham, Michelle Rodriguez, Tyrese Gibson, Chris ""Ludacris"" Bridges, Helen Mirren, Nathalie Emmanuel, Elsa Pataky, Scott Eastwood, Kurt Russell, Charlize Theron, Lucas Black",0
499,499,755551,1450,2914,the do-over,2016,Steven Brill,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",the guest,2014,Adam Wingard,"Dan Stevens (IV), Leland Orser, Lance Reddick, Sheila Kelley, Maika Monroe, Brendan Meyer, Tabitha Shaun, Chase Williamson, Joel David Moore, Steven John Brown, Brenden Wedner, Alex Knight, Ethan Embry, Nancy Jeris, Matt Page, Katie Anne Mitchell, Frank Bond, Mike Miller, Jesse Luken, Kelsey Montoya, Justin Ramsey, Tyler Riegleman, Justin Yu, Lonnie Lane, AJ Bowen, Chris Ellis, Candice Patton, Chris Harding",0
208,208,320042,283,1281,happy death day,2017,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",happy death day,2017,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Rachel Matthews, Charles Aitken, Laura Clifton",1
15,15,14814,498,52,10 cloverfield lane,2016,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",10 cloverfield lane,2016,Dan Trachtenberg,"Mary Elizabeth Winstead, John Goodman, John Gallagher Jr., Bradley Cooper, Cindy Hogan, Mat Vairo, Maya Erskine, Douglas M. Griffin, Suzanne Cryer, Jamie Clay, Sumalee G. Montano, Frank Mottek",1
437,437,667978,1578,2578,the dictator,2012,Larry Charles,"Sacha Baron Cohen, Anna Faris, John C. Reilly, Ben Kingsley",the angels' share,2013,Ken Loach,"Paul Brannigan, John Henshaw, Gary Maitland, William Ruane, Jasmin Riggins, Roger Allam, Siobhan Reilly, Charlie Maclean, Lorne MacFadyen, David Goodall, Jim Sweeney",0
283,283,418487,961,1684,sin city: a dame to kill for,2014,"Frank Miller, Robert Rodriguez","Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt",frank miller's sin city: a dame to kill for,2014,"Robert Rodriguez, Frank Miller","Josh Brolin, Mickey Rourke, Joseph Gordon-Levitt, Eva Green, Jessica Alba, Rosario Dawson, Jaime King, Jamie Chung, Bruce Willis, Ray Liotta, Juno Temple, Jeremy Piven, Dennis Haysbert, Christopher Meloni, Powers Boothe, Stacy Keach, Christopher Lloyd, Marton Csokas, Jude Ciccolella, Julia Garner, Lady Gaga, Alexa PenaVega, Patricia Vonne, Bart Fletcher, Alejandro Rose-Garcia, Samuel Davis, Mike Davis, Al Cides Dias, Kimberly Cox, Alcides Dias, Vincent Fuentes, Billy Blair, Rob Franco, Daylon Walton, Eloise Dejoria, Bob Schreck, Sylvia Froman, Lawrence Varnado, Jimmy Gonzales, Tommy Townsend, Robert Lott, Gregory R. Kelly, Patrick Sane, Greg Ingram, Will Beinbrink, Dimitrius Pulido, John Wirt, Emmy Robbin, Luis Albert Acevedo, Luis Albert Acevedo Jr., Christian Bowman, Johnny Reno",1
162,162,240364,2217,943,paris can wait,2016,Eleanor Coppola,"Diane Lane, Arnaud Viard, Alec Baldwin, Elise Tielrooy",paris can wait,2017,Eleanor Coppola,"Diane Lane, Alec Baldwin, Arnaud Viard, Cédric Monnet",1
196,196,302670,2479,1187,maurice,1987,James Ivory,"James Wilby, Rupert Graves, Hugh Grant, Denholm Elliott",maurice,1987,James Ivory,"James Wilby, Hugh Grant, Rupert Graves, Denholm Elliott, Simon Callow, Billie Whitelaw, Ben Kingsley, Judy Parfitt, Phoebe Nicholls, Mark Tandy, Helena Michell, Kitty Aldridge, Patrick Godfrey, Michael Jenn, Barry Foster, Peter Eyre, Catherine Rabett, Orlando Wells, Helena Bonham Carter, Mark Payton, Gerald McArthur, Miles Richarson, Maria Britneva, Mathew Sim, John Elmes, Alan Foss, Philip Fox, Olwen Griffiths, Chris Hunter, Breffni McKenna, Phillada Sewell, Matthew Sim, Harriet Thorpe, Julian Wadham, Philada Sewell, Richard Warner, Andrew St. Clair, Alan Whybrow, Rick Warner",1
