,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star,label
170,246734,1542,980,the book of life,2014,Jorge R. Gutirrez,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman",out of the furnace,2013,Scott Cooper,"Christian Bale, Woody Harrelson, Casey Affleck, Zoe Saldana, Sam Shepard, Forest Whitaker, Willem Dafoe, Dendrie Taylor, Carl Ciarfalio, Nancy Mosser Bailey, Bingo O'Malley, Tom Bower, Bobby Wolfe, Charles David Richards, John Kleer, Boyd Holbrook, Corey Rieger, Jack Erdie, Gordon Michaels, Jason Greear, Elias Lemon, Tommy Lafitte, Angela Kauffman",0
171,257676,2896,1019,two night stand,2014,Max Nichols,"Miles Teller, Analeigh Tipton, Jessica Szohr, Kid Cudi",two night stand,2014,Max Nichols,"Miles Teller, Analeigh Tipton, Jessica Szohr, Scott ""Kid Cudi"" Mescudi, Leven Rambin, Brian Petsos, Berto Colon, VÃ­_ctor Cruz, Kellyn Lindsay, Josh Salatin, Chris Conroy, Tom Morrissey, David Weiss, Jeremy Rishe, Michael Kincade, Samuel Gates",1
172,261707,394,1038,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Jason Mantzoukas, Nick Kroll, Allison Tolman, Michaela Watkins, Ryan Simpkins, Jessie Ennis, Rob Huebel, Cedric Yarbrough, Jeremy Renner, Andrea Savage, Toni French, Sam Richardson, Adam Reeser, Andy Buckley (II)",1
173,262365,649,1039,mike and dave need wedding dates,2016,Jake Szymanski,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",mike and dave need wedding dates,2016,Jake Szymanski,"Zac Efron, Anna Kendrick, Adam DeVine, Aubrey Plaza, Stephen Root, Sugar Lyn Beard, Chloe Bridges, Kumail Nanjiani, Sam Richardson, Alice Wetterlund, Stephanie Faracy, Lavell Crawford, Mary Holland, Marc Maron, Erik Griffin, Jake Szymanski, Eugene Cordero, Wendy Williams, Kyle Smigielski, Andrea Miceli, Nancy Miceli, Christina Souza, Olga Kalashnikova, Ashley Hobbs, Julia Fae, Andrea Russett, Bob Turton, Nicole Byer, Danielle Zalopany, Stephanie Allynne, Tabitha Humphrey, Jennie Pierson, Hilty Bowen, Tanisha Long, Cass Bugge, Ayden Mayeri",1
174,263840,926,1043,the shallows,2016,Jaume Collet-Serra,"Blake Lively, scar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas",the institute,2017,"Pamela Romanowsky, James Franco","James Franco, Allie Gallerani, Tim Blake Nelson, Lori Singer, Eric Roberts, Josh Duhamel, Topher Grace, Pamela Anderson, Beth Grant, Cynthia Murell, Melissa Bolona, Joseph Pease, Vincent Alvas, Carmen Argenziano, Lauren B. Mosley, Tamzin Brown, Laura Burnett, Robyn Cohen, Amber Coney, Jeanne Corcoran, Elena Cristiean, Jessica Starr Folger, Nana Ghana, Gabrielle Haugh, Scott Haze, Erin Johnson",0
175,264034,1496,1043,the boy,2016,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",the institute,2017,"Pamela Romanowsky, James Franco","James Franco, Allie Gallerani, Tim Blake Nelson, Lori Singer, Eric Roberts, Josh Duhamel, Topher Grace, Pamela Anderson, Beth Grant, Cynthia Murell, Melissa Bolona, Joseph Pease, Vincent Alvas, Carmen Argenziano, Lauren B. Mosley, Tamzin Brown, Laura Burnett, Robyn Cohen, Amber Coney, Jeanne Corcoran, Elena Cristiean, Jessica Starr Folger, Nana Ghana, Gabrielle Haugh, Scott Haze, Erin Johnson",0
176,264214,2375,1044,american satan,2017,Ash Avildsen,"Andy Biersack, Booboo Stewart, Ben Bruce, John Bradley",american ultra,2015,Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Topher Grace, Tony Hale, John Leguizamo, Bill Pullman, Walton Goggins, Connie Britton, Monique Ganderton, Michael Papajohn, Nash Edgerton, Lavell Crawford, Stuart Greer, Paul Vincent O'Connor, Freddie Poole, Ilram Choi, James Bendishaw, Sam Malone, Jim Klock, Wayne PÃ­Â©re, Gabe Begneaud, Rachel Wulff, Lyle Brocato, Don Yesso, Jack Yang, Vic Chao, Johnny McPhail, Nick Stanner, Eyad Elbitar, Trace Cheramie, Isaac Hughes, John Bernecker, Tim Smith, Robert Bennett, Matthew R. Staley, Alvin Chon, Teri Wyble, James Moses Black, Eric Stratemeier, Eric VanArsdale",0
177,265521,692,1048,the amazing spider-man 2,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti",the amazing spider-man 2,2014,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Chris Cooper, Paul Giamatti, Felicity Jones, Sally Field, B.J. Novak, Colm Feore, Embeth Davidtz, Campbell Scott, Max Charles, Marton Csokas, Sarah Gadon, Michael Massee, Jorge Vega, Louis Cancelmi, Bill Heck, Teddy Coluca, Helen Stern, Aidy Bryant, Cal McCrystal, Anslem Richardson, Mark Doherty, James Colby, Kari Coleman, Skyler Gisondo, Charlie DePew, Robert L. Newman, Adrian Martinez, Thaddeus Phillips, James McCauley, Rachael McOwen, David Shabtai, Greg Connolly, Timothy James Adams, Tug Coker, Jabari Gray, Jamie Lynn Concepcion, Pat Kiernan, Jessica Abo, Clem Cheung, Dusan Hyska, Andrei Runtso, Brennan Taylor, Slate Holmgren, Drew Beasley, Matthew Tronieri, Dario Barosso, Paul Urcioli, David Shih, Daniel Gerroll, Brian McElhaney, Jonathan Braylock, Steven Hauck, J.D. Walsh, JD Walsh, Stan Lee",1
178,269646,228,1059,fifty shades of grey,2015,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",fifty shades darker,2017,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Dylan Neal, Victor Rasuk, Eloise Mumford, Bella Heathcote, Max Martini, Kim Basinger, Marcia Gay Harden, Bruce Altman, Andrew Airlie, Robinne Lee, Amy Price-Francis, Fay Masterson, Ryker Brown, Logan Brown, John Callander, Carmen Dollard, Ellen Ewusie, Elizabeth McLaughlin, Albert Nicholas, Stephan Miers, Michael Meneer, Michael St. John Smith, Derek Green, Michelle Harrison, Mark DeCarlo, Bill Dow, Ashleigh LaThrop, Stephanie Florian, Julia Dominczak, Shiraine Haas, Colin Lawrence, Lucia Walters, Brooke Johnston, Paniz Zade, Carmel Amit, Isaiah Dobbs, Gala Crooner, Jose James, Otis Brown, Josh Hari, Rob Compton, Neezar Joseph Elferzeli, Ryan Mellors, Chris Murdoch, Gary Hudson",0
179,269647,705,1059,fifty shades darker,2017,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",fifty shades darker,2017,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Dylan Neal, Victor Rasuk, Eloise Mumford, Bella Heathcote, Max Martini, Kim Basinger, Marcia Gay Harden, Bruce Altman, Andrew Airlie, Robinne Lee, Amy Price-Francis, Fay Masterson, Ryker Brown, Logan Brown, John Callander, Carmen Dollard, Ellen Ewusie, Elizabeth McLaughlin, Albert Nicholas, Stephan Miers, Michael Meneer, Michael St. John Smith, Derek Green, Michelle Harrison, Mark DeCarlo, Bill Dow, Ashleigh LaThrop, Stephanie Florian, Julia Dominczak, Shiraine Haas, Colin Lawrence, Lucia Walters, Brooke Johnston, Paniz Zade, Carmel Amit, Isaiah Dobbs, Gala Crooner, Jose James, Otis Brown, Josh Hari, Rob Compton, Neezar Joseph Elferzeli, Ryan Mellors, Chris Murdoch, Gary Hudson",1
180,270679,202,1061,captain america: the winter soldier,2014,"Anthony Russo, Joe Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",captain america: the winter soldier,2014,"Joe Russo, Anthony Russo","Chris Evans, Samuel L. Jackson, Scarlett Johansson, Anthony Mackie, Sebastian Stan, Frank Grillo, Robert Redford, Cobie Smulders, Georges St-Pierre, Hayley Atwell, Toby Jones, Emily VanCamp, Maximiliano Hernandez, Stan Lee, Callan Mulvey, Jenny Agutter, Bernard White, Alan Dale, Chin Han Ng, Garry Shandling, Salvator Xuereb, Brian Duffy, Zack Duhame, Adetokumboh M'Cormack, Christopher George Sarris, Aaron Himelstein, Allan Chanes, Gozie Agbo, Christopher Markus, Stephen McFeely, Pat Healy, Ed Brubaker, D.C. Pierson, Danny Pudi, Bernard Zilinskas, Branka Katic, Angela Russo, Angela Russo Otstot, Jon Sklaroff, Chad Todhunter, Abigail Marlowe, Jeremy Maxwell, Emerson Brooks, Evan Parke, Ricardo Chacon, Griffin M. Allen, Ann Russo, Joe Rosalina, Jody Hart, Steven Culp, Derek Hughes, Wendy Hoopes, Ethan Rains, Dominic Rains, Charles Wittman, Andy Martinez Jr., Michael DeGeus, Michael De Geus, Terence O'Rourke, Anne Grimenstein, Dante Rosalina, Robert Clotworthy, June Christopher, Gary Sinise, Gavin Greenaway",1
181,272439,2932,1068,serena,2014,Susanne Bier,"Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones",serena,2015,Susanne Bier,"Jennifer Lawrence, Bradley Cooper, Rhys Ifans, Toby Jones, David Dencik, Ana Ularu, Sean Harris, Sam Reid, Blake Ritson, Charity Wakefield, Ned Dennehy, Christian McKay, Michael Ryan, Mark O'Neal, Jim High",1
182,279597,1429,1084,the spectacular now,2013,James Ponsoldt,"Miles Teller, Shailene Woodley, Kyle Chandler, Jennifer Jason Leigh",the overnight,2015,Patrick Brice,"Adam Scott, Jason Schwartzman, Taylor Schilling, Judith GodrÃ­‚che, RJ Hermes, Kyle Field, Sarah DeVincentis, Sophia Alison, Ally Anderson, Nancy Dillon, Avalon Economon, Abbie Gill, Gail Honeystein, Bit Kernodle, Max Moritt, Susan Traylor, Y Lambremont, Sarah Lambremont, Jim Turner",0
183,283247,2916,1097,deliver us from evil,2014,Scott Derrickson,"Eric Bana, Edgar Ramrez, Olivia Munn, Chris Coy",deliver us from evil,2014,Scott Derrickson,"Eric Bana, Edgar Ramirez, Olivia Munn, Sean Harris, Joel McHale, Chris Coy, Dorian Missick, Mike Houston, Lulu Wilson, Olivia Horton, Scott Johnsen, Daniel Sauli, Antoinette LaVecchia, Aidan Gemme, Jenna Gavigan, Skylar Toddings, Sebastian Lacause, Stephen Hamm, Sean Nelson, Mari-Ange Ramirez, Ben Horner, Tijuana Ricks, John Cariani, Robert Keiley, Blair Sams, Mark David Watson, Ben Livingston, Kevin Nagle, Oliver Wadsworth, Lolita Foster, Carmen Ortiz-Girdauskas, Victor Pagan, Carol Stanzione, Adam Kobylarz, Lauro Chartrand",1
184,283488,303,1100,the gift,2015,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",the punk singer,2013,Sini Anderson,"Tobi Vail, Kathleen Hanna, Joan Jett, Billy Karren, Kathi Wilcox, Johanna Fateman, JD Samson, Alison Clancy, Tavi Gevinson, Amanda Huhn, Nathan Affield, Rachel Hass, Rebecca Keith, Amy Cimini, Seth Garrison, Katherine Young, Kaia Wilson, Tammy Rae Carland, Becca Albee, Corin Tucker, Allison Wolfe, Leslie Ann Powers, Lynn Breedlove, Sara Marcus, Carrie Brownstein, Kim Gordon, Jennifer Baumgardner, Anna Joy Springer, Tamra Davis, Gloria Steinem, Dr. Leo Galland, M.D., Michael O'Neill, Tami Hart, Coo Gordon Moore, Lilly Daiber, Emma Weed, Lucas Kendall, Murray Hill, Kenny Mellman, Carmine Covelli, Sara Landeau",0
185,285983,2282,1112,amityville: the awakening,2017,Franck Khalfoun,"Jennifer Jason Leigh, Bella Thorne, Mckenna Grace, Cameron Monaghan",the babysitter,2017,McG,"Bella Thorne, Samara Weaving, Robbie Amell, Hana Mae Lee, Andrew Bachelor, Judah Lewis, Leslie Bibb",0
186,286414,1159,1112,the duff,2015,Ari Sandel,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",the babysitter,2017,McG,"Bella Thorne, Samara Weaving, Robbie Amell, Hana Mae Lee, Andrew Bachelor, Judah Lewis, Leslie Bibb",0
187,286747,599,1114,mom and dad,2017,Brian Taylor,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur",mom and dad,2018,Brian Taylor,"Nicolas Cage, Selma Blair, Anne Winters, Zackary Arthur, Lance Henriksen, Rachel Melvin, Joseph D. Reitman, Olivia Crocicchia, Angie Willmott, Samantha Lemole, Katie Stewart, George Griffith, Nathaniel Sizemore, Ricardo Santos, Dale Miller, Michael Yurchak, Ellen Marguerite Cullivan, James Tackett, Brionne Davis",1
188,288884,264,1124,the martian,2015,Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",the great wall,2017,Yimou Zhang,"Matt Damon, Tian Jing, Pedro Pascal, Willem Dafoe, Hanyu Zhang, Eddie Peng, Lu Han (V), Kenny Lin, Karry Junkai Wang, Ryan Zheng, Cheney Chen, Xuan Huang, Andy Lau",0
189,298735,1354,1161,fences,2016,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo",fences,2016,Denzel Washington,"Denzel Washington, Viola Davis, Stephen Henderson, Mykelti Williamson, Russell Hornsby, Jovan Adepo, Saniyya Sidney, Christopher Mele, Lesley Boone, Jason Silvis, Toussaint Raphael Abessolo, Theresa Cook, Dontez James, Malik Abdul Khaaliq, Aristle Jones, IV, Tra'Waan Coles, Chris McCail, Kameron Peters, Joshua Tronoski",1
190,301376,6,1167,jumanji: welcome to the jungle,2017,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",jumanji: welcome to the jungle,2017,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Bobby Cannavale, Ser'Darius Blain, Madison Iseman, Morgan Turner, Alex Wolff, Missi Pyle",1
191,302248,1202,1168,boyhood,2014,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Elijah Smith",boyhood,2014,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Elijah Smith, Steven Prince, Bonnie Cross, Sydney Orta, Libby Villari, Marco Perella, Jamie Howard, Andrew Villarreal, Shane Graham, Tess Allen, Ryan Power, Sharee Fowler, Mark Finn, Charlie Sexton, Byron Jenkins, Holly Moore, David Blackwell, Barbara Chisholm, Matthew Martinez-Arndt, Cassidy Rose Johnson, Cambell Westmoreland, Jennifer Griffin, Garry Peters, Merrille McCommas, Tamara Jolaine, Jordan Howard, Andrew Bunten, Tyler Strother, Evie Louise Thompson, Brad Hawkins, Savannah Welch, Mika Odom, Sinjin Venegas, Nick Krause, Derek Chase, Angela Rawna, Megan Devine, Jenni Tooley, Landon Collier, Roland Ruiz, Richard Jones, Karen Jones, Gordon Friday, Tom McTigue, Sam Dillon, Martel Summers, David Clark, Zoe Graham, Jesse Tilton, Richard Robichaux, Will Harris, Indica Shaw, Bruce Salmon, Wayne Sutton, Joe Sundell, Sean Tracey, Ben Hodges, Daniel Zeh, Chris Doubek, Andrea Chen, Mona Lee, Bill Wise, Alina Linklater, Charlotte Linklater, Genevieve Kinney, Elijah Ford, Kyle Crusham, Conrad Choucroun, Maximillian McNamara, Taylor Weaver, Jessi Mechler",1
