,movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
0,0,breaking a monster,2016,NR,92 minutes,Documentary,,,Luke Meyer,"Malcolm Brickhouse, Alec Atkins, Jarad Dawkins, Alan Sacks, Nile Rodgers, Jimmy Webb, Q-Tip, Samantha Sacks, Alex Suarez, Annette Van Duren, Douglas Wimbish","Luke Meyer, Brad Turner",100%,56%
1,1,annie,2014,PG,118 minutes,"Drama, Kids & Family, Musical & Performing Arts",,"$58,614,089",Will Gluck,"Jamie Foxx, Rose Byrne, Bobby Cannavale, Cameron Diaz, Adewale Akinnuoye-Agbaje, David Zayas, Zoe Margaret Colletti, Nicolette Pierini, Eden Duncan-Smith, Amanda Troya, Dorian Missick, Tracie Thoms, Mike Birbiglia, Quvenzhane Wallis, Stephanie Kurtzuba, Peter Van Wagner, Ray Iannicelli, Michael J. Fox, Jill Nicolini, Raushanna Simmons, Brad Bong, Andrew Fleming, Ty Jones, Jessica Sherr, Donnamarie Recco, Víctor Cruz, Mimi Bessette, Ryan DeLuca, Danny Flaherty, Gordon Joseph Weiss, Patricia Clarkson, Brendan Burke, Allison Jean White, Sia Furler, Taryn Gluck, Alexandra Gluck, Derrick Baskin, Pernell Walker, Lannon Killea, Molly Prather, Bobby Moynihan, Mila Kunis, Ashton Kutcher, Rihanna, Scarlett Benchley, Pat Kiernan, Beth Rowe, Lytle Harper, Brittany Connors, Aldous Davidson, Lance Kerfuffle, Kevin Cannon, J. Kaitlin Becker, Alan Purwin, Ben Skorstad, Gia Henderson, Mark Whitfield, Matthew Rush Sullivan, Sade DeMorcy, Brittany Parks, Emma Wetzel, Hannah Green, Joseph Mancini, Alex Rubiano, Eliza David, Tymell Hubbard, Josh Price, Sofia Rubino","Will Gluck, Emma Thompson, Aline Brosh McKenna",28%,59%
2,2,the revival,2018,NR,84 minutes,"Drama, Gay & Lesbian",,,Jennifer Gerber,"David Rysdahl, Zachary Booth, Raymond McAnally, Lucy Faust, Stephen Ellis","Samuel Brett Williams, Jennifer Gerber",83%,60%
3,3,the new radical,2017,NR,117 minutes,Documentary,,,Adam Bhala Lough,"Cody Wilson, Amir Taaki",Adam Bhala Lough,58%,
4,4,the secret lives of dorks,2013,PG-13,91 minutes,Comedy,,,Salomé Breziner,"Gaelan Connell, Riley Voelkel, Vanessa Marano, Jim Belushi, Beau Mirchoff, Jennifer Tilly, Mike Ditka, Seymour Cassel, William Katt, Kay Lenz, Charlie Stewart, Mark Daugherty, Escher Holloway, Andrea Bogart, Daina Gozan, Emily Wilson, Tyler Steelman, Kara Taitz, Fortune Feimster","Nicholas David Brandt, Johnny Severin",13%,40%
5,5,papadopoulos & sons,2012,NR,105 minutes,"Art House & International, Comedy, Drama",,,"Marcus Markou, Markos Markou","Stephen Dillane, Cosima Shaw, Georges Corraface, Thomas Underhill, Frank Dillane, Georgia Groome, Ed Stoppard, Selina Cadell","Marcus Markou, Markos Markou",77%,51%
6,6,the family,2013,R,112 minutes,"Action & Adventure, Comedy, Drama, Mystery & Suspense",,"$34,600,000",Luc Besson,"Robert De Niro, Michelle Pfeiffer, Tommy Lee Jones, Dianna Agron, John D'Leo, Kresh Novakovic","Tonino Benacquista, Luc Besson",29%,41%
7,7,the last king,2016,R,99 minutes,"Action & Adventure, Art House & International, Drama",,"$8,550",Nils Gaup,"Kristofer Hivju, Nikolaj Lie Kaas, Jakob Oftebro, Thorbjørn Harr, Benjamin Helstad, Pål Sverre Hagen, Anders Dahlberg, Jeppe Beck Laursen, Stig Henrik Hoff, Elg Elgesem, Asmund Brede Eike, Adam Nemet, Jon Inge Nordnes, Thea Sofie Loch Naess, Torkel Dommersnes Soldal, Ane Ulimoen Overli",Ravn Lanesskog,75%,43%
8,8,arctic tale,2007,G,86 minutes,"Documentary, Special Interest",,"$598,103","Adam Ravetch, Sarah Robertson","Queen Latifah, Preston Bailey, Kwesi Boakye, Katrina Agate, Zain Ali, Michael Huang, Sierra Marcoux, Dante Pastula, Peyton Pearson, Isabella Erschardt, Christina Robinson, Lili Sepe, Ke'ala Valencia","Linda Woolverton, Mose Richards, Kristin Gore",62%,61%
9,9,love beats rhymes,2017,R,106 minutes,"Drama, Musical & Performing Arts",,,RZA,"Azealia Banks, Jill Scott, Lucien Laviscount, Lorraine Toussaint, Hana Mae Lee, John David Washington, Common",Nicole Jefferson Asher,50%,77%
10,10,7 boxes,2014,PG-13,100 minutes,"Action & Adventure, Art House & International, Mystery & Suspense",,,"Tana Schémbori, Juan Carlos Maneglia","Celso Sebastian Franco Ferreira, Víctor Sosa, Lali González, Dante Nico Garcia, Paletita, Manuel Portillo",Juan Carlos Maneglia,100%,82%
11,11,bwoy,2017,NR,85 minutes,Drama,,,John G. Young,"Anthony Rapp, De'Adre Aziza, Jimmy Brooks, Drew Allen (IV), Jermaine Rowe, Ashton Randle, Samiyah Thompson, Jonathon Moore",John G. Young,86%,56%
12,12,the ultimate life,2013,PG,105 minutes,Drama,,"$1,326,059",Michael Landon Jr.,"Ali Hillis, Bill Cobbs, Logan Bartholomew, Peter Fonda, Drew Waters, David Mann, Abigail Mavity, Austin James","Brian Bird, Lisa Shillingburg",18%,57%
13,13,john wick,2014,R,96 minutes,Action & Adventure,,,"David Leitch, Chad Stahelski","Keanu Reeves, Michael Nyqvist, Alfie Allen, Adrianne Palicki, Bridget Moynahan, Dean Winters, Ian McShane, John Leguizamo, Willem Dafoe, Omer Barnea, Toby Leonard Moore, Daniel Bernhardt, Bridget Regan, Lance Reddick, Keith Jardine, Tait Fletcher, Kazy Tauginas, Alexander Frekey, Thomas Sadoski, Randall Duk Kim, David Patrick Kelly, Clarke Peters, Kevin Nash, Gameela Wright, Vladislav Koulikov, Munro M. Bonnell, Patricia Squire, Vladimir Troitsky","Joel Zadak, Derek Kolstad",86%,80%
14,14,teenage cocktail,2016,NR,88 minutes,Drama,,,John Carchietta,"Fabianne Therese, Joshua Leonard, Michelle Borth, Nichole O'Connor, AJ Bowen, Pat Healy","Sage Bannick, Chris Sivertson, John Carchietta",100%,54%
15,15,anti matter,2017,NR,105 minutes,"Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy",,,Keir Burrows,"Yaiza Figueroa, Philippa Carson, Tom Barber-Duffy, Noah Maxwell Clarke, James Farrar (III), Yolanda Vazquez, Casey Lawler, Harrie Hayes, Holly Joyce, Julia Savill, Rachel Waring, Joseph Teague, Molly Bas, Dan Shelton, Adrian Tauss, Charlotte Victoria, Jessica Perchard",Keir Burrows,89%,81%
16,16,the single moms club,2014,PG-13,111 minutes,"Comedy, Drama",,"$15,986,272",Tyler Perry,"Wendi McLendon-Covey, Nia Long, Amy Smart, Zulay Henao, Cocoa Brown, Tyler Perry, Ryan Eggold, William Levy, Terry Crews, Eddie Cibrian, Katherine Shepler, Cassie Brennan, Massai Z. Dorsey, Vanessa Velasco, DeVion Harris, Marlene Forte, Sean Carrigan, Carmen Argenziano, Brandon Olive, Ashley LeConte Campbell, Kenny Alfonso, Elliott Grey, Alpha Trivette, Dan Chandler, Niki Spiridakos, William E. Jackson, II, Carrie Walrond, Angela Matemotja, Helen Ingebritson, Kendra C. Johnson, Herrari Hamilton, John Doyle, Cranston Johnson, Tasia Grant, Anthony Dalton, Adaline Gruszynski, Gabriel Lopez, Terry Burchett, Sara Vonzine",Tyler Perry,19%,58%
17,17,the revenant,2015,R,156 minutes,"Action & Adventure, Drama",,,Alejandro González Iñárritu,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter, Forrest Goodluck, Paul Anderson (XVIII), Lukas Haas, Melaw Nakehk'o, Brad Carter, Brendan Fletcher, Kristoffer Joner, Grace Dove Syme, Kory Grim, Dave Burchill, Christopher Rosamund, Robert Moloney, Vincent Leclerc, Joshua Burge, Christopher Rosamond, Chris Ippolito, Mark Krysko, McCaleb Burnett, Duane Howard, Fabrice Adde, Arthur Redcloud, Tyson Wood, Stephane Legault, Amelia Crow Shoe, Emmanuel Bilodeau, Peter Strand Rumple, Cole Vandale, Tom Guiry, Scott Olynek, Jamie Medicine Crane, Timothy Lyle, Chesley Wilson, Veronica Marlowe, Clarence Hoof, Adrian McMorran, Alexandre Bisping, Dion Little Child, C. Adam Leigh, Blake Wildcat, Paul Young Pine, Javiar Lopez, Cody Big Tobacco, Haysam Kadri, Dallas Young Pine, Anthony Starlight, Michael Fraser, Scott Duncan, Mariah Old Shoes, Isaiah Tootoosis, Jeffrey Olynek, Kevin Corey, Daniel Rampanen, Jordan Crawford","Mark L. Smith, Alejandro González Iñárritu",80%,84%
18,18,norman,2017,R,118 minutes,Drama,,"$3,814,868",Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Charlotte Gainsbourg, Steve Buscemi, Dan Stevens (IV), Hank Azaria, Josh Charles",Joseph Cedar,89%,57%
19,19,leave the world behind,2014,NR,95 minutes,"Documentary, Musical & Performing Arts",,,Christian Larson,"Axel Axwell Hedfors, Steve Angello, Sebastian Ingrosso",,71%,82%
20,20,go for sisters,2013,NR,122 minutes,Drama,,"$55,963",John Sayles,"LisaGay Hamilton, Edward James Olmos, Yolonda Ross, Hector Elizondo, Isaiah Washington, Mahershala Ali, Michael Laskin, Harold Perrineau, Jacob Vargas, Tessa Ferrer, Hilary Barraford, Michael Piznarski, Mary Portser, Don Harvey, Brent Jennings, Rita Taggart, Jonathan Castellanos, Thai Phuong, Vanessa Martinez, Evelina Fernandez, Sal Lopez, Manny Montana, Jesse Borrego, Andy Zuno, Elizabeth Sung, Martha Higareda, Alejandro Cardenas, Richard Coca, Omar Leyva, Dominic Colón, Javier Calderon, Jessica Pimentel, Cesar Alejandro, McKinley Belcher III",John Sayles,73%,53%
21,21,despicable me 2,2013,PG,98 minutes,"Animation, Comedy, Kids & Family",,"$368,049,635","Pierre Coffin, Chris Renaud","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove, Russell Brand, Ken Jeong, Al Pacino, Steve Coogan, Elsie Fisher, Dana Gaier, Moises Arias, Nasim Pedrad, Kristen Schaal, Pierre Coffin, Chris Renaud, Nickolai Stoilov, Vanessa Bayer","Cinco Paul, Ken Daurio",74%,85%
